,id,last_scraped,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_90,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_location,license,instant_bookable,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,3781,2024-09-18,4804,Frank,2008-12-03,"Massachusetts, United States",within a day,1.0,0.28,t,2,6,t,f,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,125.0,29,1125,29.0,29.0,1125.0,1125.0,29.0,1125.0,t,0,0,2024-09-18,26,2,0,2015-07-10,2024-08-09,4.96,5.0,4.96,5.0,4.85,,f,1,0,0,0.23
1,5506,2024-09-18,8229,Terry,2009-02-19,"Boston, MA",within an hour,1.0,0.99,t,11,14,t,t,Entire guest suite,Entire home/apt,2,1.0,1 bath,1.0,1.0,142.0,3,90,1.0,3.0,1125.0,1125.0,3.0,1125.0,t,1,50,2024-09-18,128,9,2,2009-03-21,2024-08-29,4.8,4.88,4.9,4.95,4.57,STR-490093,f,10,0,0,0.68
2,6695,2024-09-18,8229,Terry,2009-02-19,"Boston, MA",within an hour,1.0,0.99,t,11,14,t,t,Entire condo,Entire home/apt,4,1.0,1 bath,0.0,2.0,171.0,3,730,1.0,3.0,730.0,730.0,3.0,730.0,t,0,43,2024-09-18,132,7,0,2009-08-06,2024-08-18,4.81,4.82,4.87,4.9,4.52,STR-491702,f,10,0,0,0.72
3,8789,2024-09-18,26988,Anne,2009-07-22,"Boston, MA",within a few hours,1.0,0.49,t,8,32,t,t,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,2.0,125.0,91,365,91.0,91.0,365.0,365.0,91.0,365.0,t,0,0,2024-09-18,29,2,0,2014-08-12,2024-05-15,4.69,4.69,4.55,4.93,4.97,,f,4,0,0,0.24
4,10811,2024-09-18,38997,Michelle,2009-09-16,,within a few hours,0.89,0.55,f,22,29,t,t,Entire rental unit,Entire home/apt,3,1.0,1 bath,0.0,1.0,130.0,91,1125,91.0,91.0,1125.0,1125.0,91.0,1125.0,t,0,42,2024-09-18,9,0,0,2016-01-09,2019-07-22,4.33,4.44,4.67,4.56,5.0,,f,13,0,0,0.09
5,10813,2024-09-18,38997,Michelle,2009-09-16,,within a few hours,0.89,0.55,f,22,29,t,t,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,1.0,117.0,32,1125,32.0,32.0,1125.0,1125.0,32.0,1125.0,t,1,49,2024-09-18,5,1,0,2019-03-17,2023-11-19,5.0,5.0,4.8,5.0,5.0,,f,13,0,0,0.07
6,10986,2024-09-18,38997,Michelle,2009-09-16,,within a few hours,0.89,0.55,f,22,29,t,t,Entire condo,Entire home/apt,2,1.0,1 bath,0.0,1.0,130.0,32,1125,30.0,32.0,1125.0,1125.0,31.9,1125.0,t,0,41,2024-09-18,1,1,0,2024-01-05,2024-01-05,4.0,5.0,3.0,2.0,5.0,,f,13,0,0,0.12
7,18711,2024-09-18,71783,Lance,2010-01-19,"Boston, MA",within an hour,1.0,0.98,f,30,68,t,t,Entire rental unit,Entire home/apt,7,1.0,1 bath,3.0,3.0,143.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,t,0,17,2024-09-18,52,0,0,2010-05-12,2023-08-19,4.31,4.5,4.71,4.56,4.24,,t,14,15,0,0.3
8,29765,2024-09-18,128280,Elizabeth,2010-05-19,"Boston, MA",,1.0,0.9,f,1,4,t,t,Entire rental unit,Entire home/apt,2,1.2,1 bath,1.0,1.0,213.0,2,28,2.0,2.0,28.0,28.0,2.0,28.0,t,0,0,2024-09-18,101,0,0,2010-05-24,2023-09-13,4.97,4.96,4.97,5.0,4.8,STR-454024,f,1,0,0,0.58
9,40601,2024-09-18,174986,Robert,2010-07-20,"Boston, MA",within a few hours,0.8,0.7,t,1,1,t,t,Private room in home,Private room,2,1.5,1.5 baths,1.0,1.0,102.0,29,120,18.0,29.0,120.0,120.0,28.0,120.0,t,17,21,2024-09-18,100,5,0,2010-08-27,2024-08-10,4.98,4.95,5.0,4.97,4.93,STR-551851,f,0,1,0,0.58
